rank,run_dir,score,auc,inside,n_active,dom_train,margin_mean,n_spheres,best_epoch
1,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-4,0.36552215,0.49722403,0.00128986,9,0.56895352,47.98783493,30,20
2,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p30,0.34795381,0.50252488,0.12561806,6,0.98413775,11.52489471,30,20
3,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p01,0.33256707,0.50548477,0.00007166,4,0.97928450,33.60699081,30,20
4,samplesvdd/hySpUnsup/runs/sensitivity_v3/lb_20,0.33199900,0.50076936,0.01304192,17,0.95726648,23.80222321,30,19
5,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p35,0.33000900,0.50276603,0.00021498,6,0.97789276,56.21192169,30,20
6,samplesvdd/hySpUnsup/runs/sensitivity_v3/lb_100,0.32904947,0.50369797,0.00000000,2,0.99648497,95.10321045,30,20
7,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p15,0.32897483,0.50067378,0.00910068,4,0.98064056,25.02741432,30,20
8,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k10,0.32868673,0.50304974,0.00000000,4,0.99363012,125.02373505,10,20
9,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p20,0.32860433,0.50314042,0.00000000,1,0.99536087,65.85286713,30,20
10,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p05,0.32846262,0.50205482,0.00000000,5,0.98592203,67.80584717,30,20
11,samplesvdd/hySpUnsup/runs/sensitivity_v3/lb_150,0.32814653,0.50126050,0.00007166,3,0.98124721,66.35868835,30,19
12,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb20_ub0p30,0.32754039,0.50043490,0.00007166,7,0.97905255,86.06508636,30,20
13,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p02,0.32741597,0.50021595,0.00000000,9,0.97799982,72.23387146,30,19
14,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-2,0.32735195,0.50196298,0.00000000,2,0.99611027,58.31495285,30,20
15,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p20,0.32726850,0.50076970,0.00000000,4,0.98501204,65.58940125,30,20
16,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p30,0.32726039,0.50065980,0.00014332,5,0.98420912,74.69105530,30,20
17,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p0,0.32721198,0.50124251,0.00100322,2,0.99181015,52.26218033,30,20
18,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p0,0.32692202,0.50026800,0.00000000,6,0.98345972,73.96352386,30,20
19,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb20_ub0p10,0.32686040,0.49974424,0.00000000,10,0.97883843,94.83837891,30,20
20,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb20_ub0p20,0.32683783,0.50043360,0.00000000,10,0.98595771,57.57943344,30,20
21,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k15,0.32662348,0.50126841,0.00000000,2,0.99644928,133.79792786,15,19
22,samplesvdd/hySpUnsup/runs/sensitivity_v3/lb_50,0.32649226,0.50021025,0.00444285,2,0.99384423,35.30142593,30,20
23,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_0,0.32634066,0.50095882,0.00000000,2,0.99618164,102.91320038,30,19
24,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p10,0.32629530,0.49984820,0.00007166,4,0.98563654,73.06323242,30,20
25,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p25,0.32594208,0.49903638,0.00014332,6,0.98115800,73.27920532,30,20
26,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p10,0.32551717,0.50026023,0.00000000,1,0.99743064,139.69906616,30,20
27,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k5,0.32494736,0.49969578,0.00000000,2,0.99748416,109.40195465,5,20
28,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_margin_0p005,0.32485655,0.49960497,0.00000000,1,0.99748416,84.92037201,30,20
29,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-5,0.32452606,0.49723214,0.00186313,7,0.97985547,30.72321892,30,20
30,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p20,0.32434558,0.49889951,0.00000000,2,0.99553930,57.76005936,30,20
31,samplesvdd/hySpUnsup/runs/sensitivity_v3/overlap_lambda_1e-3,0.32398534,0.49842282,0.00078825,2,0.99555714,27.35647583,30,20
32,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p30,0.32396446,0.49862366,0.00000000,1,0.99659202,151.61878967,30,20
33,samplesvdd/hySpUnsup/runs/sensitivity_v3/nspheres_k20,0.32360314,0.49746473,0.00007166,3,0.98872335,30.06746292,20,20
34,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p05,0.32306289,0.49642135,0.00000000,5,0.98358462,60.89381409,30,20
35,samplesvdd/hySpUnsup/runs/sensitivity_v3/ub_0p15,0.32256071,0.49625462,0.00000000,6,0.98693907,93.80682373,30,20
36,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb50_ub0p10,0.32224550,0.49663884,0.00000000,3,0.99393345,114.55752563,30,20
37,samplesvdd/hySpUnsup/runs/sensitivity_v3/grid_lb100_ub0p10,0.32135234,0.49387397,0.00000000,4,0.97521634,97.37174988,30,19
38,samplesvdd/hySpUnsup/runs/sensitivity_v3/chaos_0p25,0.31975267,0.49327528,0.00000000,5,0.98522616,35.55292892,30,20
